Barbarian,,Barbare ,,Barbaro,,Barbar,,Bárbaro,,バーバリアン,,바바리안,,狂战士,,,,,Axe fighters with a wild and dangerous style. Excellent for assaulting gates,,Les combattants à la hache avec un style sauvage et dangereux. Excellent pour prendre les forteresses d’assaut.,,Combattenti con ascia dallo stile selvaggio e pericoloso. Sono i più adatti ad assaltare i cancelli.,,"Axtkämpfer mit einem wilden, riskanten Stil. Ideal zum erstürmen von Toren",,Luchadores con hacha que tienen un estilo salvaje y peligroso. Excelentes para asaltar todo tipo de puertas.,,ワイルドで危険なスタイルを好む斧戦士。城門の攻略に最適だ,,거칠고 위험한 스타일의 도끼 전사들. 관문 공략에 탁월,,斧头战士，风格狂野而危险风格。极其适合破门战
Savage,,Sauvage ,,Indole selvaggia,,Grausam,,Salvaje,,野蛮,,야만족,,野蛮人,,,,Attacks ignore 50% of defense,,Les attaques ne prennent pas compte de 50 % de la défense.,,gli attacchi ignorano il 50% della difesa,,Angriffe ignorieren 50 % der Verteidigung,,los ataques ignoran el 50 % de la defensa.,,撃の際に50％の防御力を無視する,,공격이 방어의 50% 무시,,击可无视 50% 的防御力,
Shove,,Repoussage ,,Spintone,,Grober Stoß,,Empujón,,突き押し,,밀치기,,猛推,,,,Push range +1,,Distance de repoussage + 1.,,+1 alla portata della spinta,,Stoßreichweite +1,,+1 de alcance de empuje.,,し出す距離+1,,밀어내기 범위 +1,,推离范围 +1,
Knight,,Chevalier ,,Cavaliere,,Ritter,,Caballero,,ナイト,,기사,,骑士,,,,,"A skilled fighter, trained in chivalry and death",,"Un guerrier d’expérience, chevaleresque et mortel.",,"Un abile combattente, maestro di cavalleria e di uccisioni.",,"Ein geübter Kämpfer, ausgebildet in ritterlichen Tugenden und im Töten",,"Un luchador habilidoso, entrenado en la caballería y la muerte.",,歴戦の戦士。死を恐れず、騎士道に長ける,,기사도와 죽음에 대해 훈련된 숙련된 전사,,熟练战士，受过骑士精神和死亡方面的训练
Chivalry,,Chevalerie ,,Cavalleria,,Ritterlichkeit,,Caballería,,騎士道,,기사도,,骑士精神,,,,Gains 6% power for every adjacent player unit,,Gagne 6 % de puissance pour chaque unité de joueur adjacente.,,ottiene +6% potenza per ogni unità controllabile adiacente,,Gewinnt 6 % Macht pro benachbarter Spielereinheit,,obtiene un 6 % de poder por cada unidad del jugador en posición adyacente.,,接するプレーヤーユニットごとに6％の威力を獲得する,,인접한 모든 플레이어 유닛에 대해 6% 파워 획득,,个相邻的玩家单位获得 6% 的力量,
Sturdy,,Tenace ,,Robustezza,,Robust,,Robustez,,堅牢,,견고,,坚固度,,,,+35% health,,+35 % de PV.,,+35% salute,,+35 % Gesundheit,,+35 % de salud.,,Pが35％増加する,,체력 35% 증가,,35% 的生命值,
Defender,,Défenseur ,,Difensore,,Verteidiger,,Defensor,,ディフェンダー,,방어자,,后卫,,,,,"Valiant protectors capable both of drawing enemy attacks, and taking them",,De vaillants protecteurs capables d’attirer les ennemis et d’encaisser leurs attaques.,,"Valorosi protettori, potenti tanto in attacco quanto in difesa.",,"Tapfere Beschützer, die gegnerische Angriffe auf sich lenken und aushalten können",,Valerosos protectores capaces tanto de atraer ataques enemigos como de aguantarlos.,,敵の攻撃を引きつけ、受け止める勇敢な壁役,,적의 공격을 끌어내는 동시에 받아낼 수 있는 용맹스러운 보호자,,"英勇守护者,既能吸引敌人的攻击，又能抓住敌人"
Bastion,,Bastion ,,Bastione,,Bastion,,Bastión,,防壁,,보루,,堡垒,,,,Adjacent player units will have their defence increased by 20% when in combat,,Les unités du joueur adjacentes voient leur défense boostée de 20 % quand elles sont en combat.,,+20% difesa delle unità controllabili adiacenti in combattimento,,Die Verteidigung benachbarter Spielereinheiten steigt im Kampf um 20 %,,la defensa de las unidades del jugador en posición adyacente aumenta un 20 % cuando están en combate.,,接するプレーヤーユニットの防御力が戦闘時に20％増加する,,인접한 플레이어 유닛은 전투 시 방어가 20% 증가,,斗时相邻玩家单位的防御力会增加 20%,
Hulking Presence,,Présence immanquable ,,Presenza minacciosa,,Massige Präsenz,,Presencia descomunal,,存在感,,거대한 존재,,大块头,,,,Enemies will attack him more,,Les ennemis le prennent plus souvent pour cible.,,i nemici attaccano più spesso il difensore,,Gegner greifen ihn öfter an,,los enemigos lo atacan más.,,からの攻撃を受けやすくなる,,적들의 공격이 그에게 집중됩니다,,人会更多地攻击他,
Dragoon,,Cavalier Dragon ,,Dragone,,Dragoner,,Dragón,,ドラグーン,,용기병,,龙骑兵,,,,,Highly skilled cavalry that can cover large stretches to push the advantage or defend allies,,Des cavaliers surentrainés et très mobiles pour maintenir leur avantage ou défendre leurs alliés.,,Cavalleria altamente qualificata che può coprire lunghi tratti per avvantaggiare o difendere gli alleati.,,"Bestens ausgebildete Kavallerie, die lange Strecken zurücklegt, um Vorteile zu erringen oder Verbündete zu verteidigen",,Unidad de caballería altamente capacitada que puede recorrer grandes distancias para granjearse ventaja o defender a sus aliados.,,アドバンテージを押し上げたり、味方を守るために広範囲をカバーできる優れた騎兵,,넓은 범위를 엄호하여 우위를 점하거나 아군을 방어할 수 있는 고도로 숙련된 기병,,高技能型骑兵，可以覆盖更大范围，扩大优势或保卫盟友
Deft Strike,,Coup expert ,,Colpo lesto,,Gewandter Schlag,,Golpe hábil,,巧みな一撃,,재빠른 일격,,灵巧一击,,,,Gain 2.5% crit for each tile moved in the turn,,"Gagnez 2,5% de critique pour chaque tuile déplacée dans le tour",,"Ottieni il 2,5% di critico per ogni tessera spostata nel turno",,"Erhalte 2,5 % kritische Treffer für jedes im Zug bewegte Plättchen",,Obtienes 2.5% de crítico por cada ficha movida en el turno.,,順番に移動したタイルごとに2.5％のクリティカルを獲得します,,턴에 이동한 타일마다 2.5%의 치명타를 얻습니다.,,回合中每移动一个方块获得 2.5% 暴击,
Deadly Precision,,Précision mortelle ,,Precisione mortale,,Tödliche Präzision,,Precisión mortal,,急所狙い,,치명적 정밀성,,致命精准,,,,Crit increased by 20% of dodge,,Augmente les chance de coup critique par 20 % de l'esquive.,,colpo critico +20% del valore di schivata,,Krit. steigt um 20 % des Ausweichwerts,,aumento de crítico en un 20 % de la evasión.,,殺率が回避の20％分増加する,,치명타가 회피의 20% 증가,,击能力提升 20% 躲避效果,
Berserker,,Enragé ,,Berserkr,,Berserker,,Berserker,,バーサーカー,,버서커,,狂战士技能,,,,,Ruthless fighters with the ability to funnel rage and pain into power,,Les combattants sans pitié capables de transformer la rage et la douleur en force.,,Combattenti spietati capaci di incanalare rabbia e dolore per trasformarli in potenza.,,"Gnadenlose Kämpfer mit der Fähigkeit, Wut und Schmerz in Macht zu kanalisieren",,Luchadores despiadados con la capacidad de canalizar la cólera y el dolor para convertirlos en poder.,,怒りと痛みを力に変える無慈悲な戦闘狂,,분노와 고통을 파워에 쏟아붓는 능력을 지닌 무자비한 전사들,,无情斗士，能够将愤怒和痛苦转化为力量
