Empty,,Vide,,Vuoto,,Leer,,Vacío,,空の,,비어있는,,空的,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Orange,restores 10HP,Orange Sanguine,restaure 10 PV,Arancia sanguigna,ripristina 10 PS,Blutorange,stellt 10 TP wieder her,Naranja sanguina,restablece 10 PS.,ブラッドオレンジ,HPを10回復,블러드 오렌지,10HP 회복,血橙,恢复 10 点生命值,,,A delicious orange,,Une délicieuse orange.,,Un'arancia deliziosa.,,Eine leckere Orange,,Una naranja deliciosa.,,おいしいオレンジ,,맛있는 오렌지,,美味的橙子
Vorrin Tuber,restores 20HP,Tubercule de Vorrin,restaure 20 PV,Tubero di Vorrin,ripristina 20 PS,Vorrinknolle,stellt 20 TP wieder her,Tubérculo de Vorrin,restablece 20 PS.,ヴォリンチューバー ,HPを20回復,보린 덩이줄기,20HP 회복,沃林薯,恢复 20 点生命值,,,A grimy potato from the harsh climate of Kharmont,,Une racine provenant du rude climat de Kharmont.,,Una patata sporca di terra cresciuta nel rigido clima di Kharmont.,,Eine schmutzige Kartoffel aus dem rauen Klima von Kharmont,,Una patata mugrienta del duro clima de Kharmont.,,カーモントの厳しい気候で育ったすすけたジャガイモ,,카르몬트의 혹독한 기후에서 자란 못생긴 감자,,来自卡尔蒙特恶劣气候下的肮脏马铃薯
Crab Cake,restores 30HP,Gâteau au Crabe,restaure 30 PV,Tortino di granchio,ripristina 30 PS,Krabbenpastete,stellt 30 TP wieder her,Pastel de cangrejo,restablece 30 PS.,カニのケーキ,HPを30回復,크랩 케이크,30HP 회복,蟹饼 ,恢复 30 点生命值,,,Never trust an inland crab cake,,N'en achetez que près des côtes.,,Mai fidarsi di un tortino di granchio cucinato nell'entroterra.,,Traue niemals einer Krabbenpastete im Binnenland,,Nunca te fíes de un pastel de cangrejo de interior.,,内陸部の淡水カニのケーキの味を信用してはいけない,,내륙의 크랩 케이크는 절대로 믿지 마세요,,永远不要相信内陆蟹饼
Aramor Oysters,restores 40HP,Huîtres d'Aramor,restaure 40 PV,Ostriche di Aramor,ripristina 40 PS,AramorAustern,stellt 40 TP wieder her,Ostras de Aramor,restablecen 40 PS.,アラモルのカキ,HPを40回復,아라모르 굴,40HP 회복,阿拉莫生蚝 ,恢复 40 点生命值,,,Require extreme talent to consume during battle,,Arriver à les consommer en plein combat est déjà une victoire en soi.,,Richiedono un talento incredibile per essere consumate in battaglia.,,"Es erfordert reichlich Talent, sie im Kampf zu essen",,Hace falta muchísimo talento para consumirlas durante la batalla.,,戦闘中に食べきるには非凡な食欲が求められる,,전투 중에 먹으려면 극한의 재능이 필요합니다,,需要极品天才才能经得起战争消耗
Corn on the Cob,restores 50HP,Cobette de Maïs,restaure 50 PV,Pannocchia arrostita,ripristina 50 PS,Maiskolben,stellt 50 TP wieder her,Mazorca de maíz,restablece 50 PS.,まるごとトウモロコシ,HPを50回復,통옥수수,50HP 회복,玉米棒子,恢复 50 点生命值,,,Many Delians feel a sense of pride regarding high quality corn,,Les Déliais mettent un point d'honneur à cultiver un maïs de qualité.,,Molti deliani provano un senso di orgoglio verso il mais di buona qualità.,,Viele Delianer empfinden Stolz auf hochwertigen Mais,,Muchos delianos sienten orgullo por el maíz de alta calidad.,,多くのデリア人は、地元のおいしいトウモロコシに誇りを持っている,,많은 델리아인이 최고 품질의 옥수수에 자부심을 느낍니다,,许多得洛斯人因优质玉米感到自豪
Leg of Mutton,restores 60HP,Gigot de Mouton,restaure 60 PV,Coscia di montone,ripristina 60 PS,Hammelkeule,stellt 60 TP wieder her,Pierna de cordero,restablece 60 PS.,羊のもも肉,HPを60回復,양다리 고기,60HP 회복,羊腿,恢复 60 点生命值,,,Best consumed in a single bite,,Encore meilleur en une seule bouchée.,,Ancora più gustosa se consumata in un sol boccone.,,Sollte als ein Bissen aufgegessen werden,,Lo mejor es consumirla de un solo bocado.,,一口でたいらげるのが最高の食べ方,,한입에 먹는 게 가장 좋습니다,,一口吃最好
Holy Water,restores 70HP,Eau Bénite,restaure 70 PV,Acqua santa,ripristina 70 PS,Weihwasser,stellt 70 TP wieder her,Agua bendita,restablece 70 PS.,聖水,HPを70回復,성수,70HP 회복,圣水,恢复 70 点生命值,,,"You aren't really supposed to drink it, but it's quite good",,"Normalement vous ne devriez pas en boire, mais ça ne peut pas faire de mal.",,"Non è fatta per essere bevuta, ma ha comunque un buon sapore.",,"Sollte man nicht trinken, ist aber recht gut",,"No deberías bebértela, pero está bastante buena.",,元来飲用ではないが、効果は抜群だ,,"원래 마시면 안 되지만, 꽤 괜찮습니다",,你真的不应该喝，但是确实美味
Enchanted Bacon,restores 80HP,Bacon Enchanté,restaure 80 PV,Bacon incantato,ripristina 80 PS,Verzauberter Speck,stellt 80 TP wieder her,Beicon encantado,restablece 80 PS.,極上ベーコン,HPを80回復,마법 베이컨,80HP 회복,魔法培根,恢复 80 点生命值,,,Produced by Enchanted Farms in Neullais. Not actually magical,,Pur produit des Fermes Enchantées de Neuillais. Le « magique » c'est juste pour la pub.,,Prodotto presso le Fattorie incantate di Neullais. Non ha nulla di magico.,,Wird auf dem Verzauberten Hof in Neullais hergestellt. Nicht wirklich magisch.,,"Lo producen las granjas encantadas de Neullais, pero no tiene nada de mágico.",,ニューライスの一流の農場で生産されたもの,,"눌레의 마법 농장에서 생산되었지만, 마력은 없습니다",,由纽莱魔法农场生产，但实际上并不具有魔法
Lavelle Cheesesteak,restores 90HP,Steak au Fromage de Lavelle,restaure 90 PV,Cistecca di Lavelle,ripristina 90 PS,Cheesesteak Lavelle,stellt 90 TP wieder her,Bistec con queso de Lavelle,restablece 90 PS.,ラヴェルのチーズステーキ,HPを90回復,라벨 치즈스테이크,90HP 회복,拉维尔芝士牛排,恢复 90 点生命值,,,"They make them in Sojourn too, but they just aren't the same",,"On en mange aussi à Sojourn, mais c'est pas la même chose.",,"Le fanno anche a Sojourn, ma non hanno lo stesso sapore.",,"Wird auch in Sojourn hergestellt, aber das ist nicht ganz dasselbe",,"También los hacen en Sojourn, pero no están tan buenos.",,ソジャーンでも作られているが、品質は同じではない,,소저른에서도 만들지만 똑같지는 않습니다,,他们也在旅居地生产，但是也不太一样
Sparkling Mead,restores 100HP,Hydromel Pétillant,restaure 100 PV,Idromele frizzante,ripristina 100 PS,Perlmet,stellt 100 TP wieder her,Hidromiel espumoso,restablece 100 PS.,スパークリング蜂蜜酒,HPを100回復,탄산 벌꿀주,100HP 회복,气泡蜂蜜酒 ,恢复 100 点生命值,,,Frequently outlawed in eastern coastal towns,,Illégal sur la voie publique.,,Dichiarato illegale in molte località di mare dell'est.,,In den östlichen Küstenstädten meist verboten,,Suele estar prohibido en las ciudades costeras del este.,,多くの東海岸の町で違法とされている飲み物,,동부 해안 마을에서는 자주 금지됩니다,,在东部沿海城镇经常被亡命暴徒肆掠
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Meatball,restores 40% HP,Boulettes Épicées,restaure 40 % des PV,Polpette piccanti,ripristina il 40% dei PS,Fleischklops,stellt 40 % TP wieder her,Albóndiga picante,restablece un 40 % de PS.,スパイシーミートボール,HPを40％回復,스파이시 미트볼,40% HP 회복,麻辣肉丸,恢复 40% 的生命值,,,Caution: Hot,,Attention c'est chaud !,,Attenzionedavvero piccanti.,,Vorsicht scharf,,Ojopica mucho.,,とにかく辛い,,주의뜨겁습니다,,小心：烫
Baked Beans,restores 60% HP,Haricots en Sauce,restaure 60 % des PV,Fagioli stufati,ripristina il 60% dei PS,Baked Beans,stellt 60 % TP wieder her,Judías al horno,restablecen un 60 % de PS.,ベイクドビーンズ,HPを60％回復,베이크드 빈스 ,60% HP 회복,焗豆,恢复 60% 的生命值,,,Don't spill,,N'allez pas en renverser.,,Capitano proprio nel momento più adatto.,,Nichts verschütten,,Con plus de flatulencia.,,こぼさないように注意,,흘리지 마세요,,不要溅出来
Garlic Bread,restores 80% HP,Pain à l'Ail,restaure 80 % des PV,Pane all'aglio,ripristina l'80% dei PS,Knoblauchbrot,stellt 80 % TP wieder her,Pan de ajo,restablece un 80 % de PS.,ガーリックブレッド,HPを80％回復,마늘빵,80% HP 회복,蒜蓉面包,恢复 80% 的生命值,,,Somehow still warm and toasty,,Ne me demandez pas comment elle est restée chaude et croustillante.,,Per qualche motivo è ancora caldino e croccante.,,Irgendwie noch warm und knusprig,,Increíble que aún esté caliente.,,まだ熱くてカリカリだ,,아직 따끈따끈합니다,,"不知何故仍然温暖,就像新出炉的一样"
Fizzly Drink,restores 100% HP,Soda,restaure 100 % des PV,Bibita gasata,ripristina il 100% dei PS,Brause,stellt 100 % TP wieder her,Refresco,restablece un 100 % de PS.,スペシャルソーダ,HPを100％回復,피즐리 음료,100% HP 회복,汽水,恢复 100% 的生命值,,,Tastes like it might cause mass health issues in future Delia,,Ça a le goût des futurs problèmes cardiovasculaires de Délia.,,Sa di qualcosa che causerà grandi problemi di salute a tutta Delia.,,Könnte in Zukunft in Delia massenhaft Gesundheitsprobleme verursachen,,Sabe a que podría causar enormes problemas de salud en Delia.,,デリアの民に将来健康問題を起こしかねない味だ,,향후 델리아에 거대한 건강 문제를 일으킬 것 같은 맛,,尝起来可能会导致未来得洛斯出现大规模健康问题一样
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guga Steak,+5 HP permanent,Steak Guga,+5 HP permanents,Bistecca di Guga,+5 PS massimi,Gugasteak,+ 5 TP permanent,Filete Guga,+5 PS permanentes.,グーガのステーキ,最大HPを永続的に+5,구가 스테이크,+5 영구 HP,古加牛排,永久性 +5 的生命值,,,"Well marbled, cooked sousvide in the most advanced cooking tech",,Bien persillé et cuisiné sous vide avec des instruments de cuisine hightech.,,"Ben marezzata e cotta sottovuoto a basse temperature, sfruttando le più avanzate tecniche di cucina.",,Schön marmoriert und mit der neuesten Küchentechnik sous vide gegart,,Bien veteado y cocinado al vacío con la tecnología más avanzada.,,霜降りを煮込む真空調理法。最先端の調理技術をご賞味あれ,,"마블링이 좋고, 최첨단 조리 기술로 요리된 수비드",,大理石纹路，采用最先进的烹饪技术烹制真空低温烹调法
Raw Egg,+2 STR permanent,Œuf cru,+2 FOR permanents,Uovo crudo ,+2 FRZ massima,Rohes Ei,+ 2 KRA permanent,Huevo crudo,+2 de FUE permanentes.,生卵 ,筋力を永続的に+2,날달걀 ,영구적 +2 힘,生鸡蛋 ,永久性 +2 的能量,,,Crack it and snack it. Only for the heartiest of heroes,,Le simple fait de la gober fait déjà de vous un héros.,,Da rompere e consumare sul momento. Solo per i guerrieri più robusti.,,Aufschlagen und aufessen. Nur für handfeste Helden.,,"Lo rompes y te lo comes, como los héroes más enérgicos.",,割って飲もう。元気はつらつなヒーローにだけ使おう,,깨뜨려서 드세요. 가장 마음이 따뜻한 영웅들을 위해,,把它弄碎，作为点心吃掉。只供给最热心的英雄
Avocado Toast,+2 MAG permanent,Toast à l'Avocat ,+2 MAG permanents,Toast all'avocado,+2 MAG massima,Avocadotoast, + 2 MAG permanent,Tostada de aguacate,+2 de MAG permanentes.,アボカドトースト,魔力を永続的に+2,아보카도 토스트,영구적 +2 마법,鳄梨吐司 ,永久性增加 +2 的 MAG,,,All the rage among the youth in Vorrin right now,,Super à la mode dans les brunches vorinnais.,,Il piatto più alla moda fra i giovani di Vorrin.,,Der aktuelle Renner bei der Jugend in Vorrin,,Está muy de moda entre la juventud de Vorrin.,,ヴォリンの若者の間で大流行の食べ物,,지금 보린의 젊은이들 사이에 대유행,,现在在沃林的年轻人中风靡一时
