1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Defeat Boss,,Battez le boss,,Sconfiggi il boss,,Boss besiegen,,Derrota al jefe.,,ボスを倒せ,,보스 물리치기,,击败大佬,
Proceed through the Brookstead Trials by defeating Sterling and his allies.,,Progressez dans les Épreuves de Brookstead en battant Sterling et ses alliés.,,Supera le Prove di Sottoroggia sconfiggendo Sterling e i suoi alleati.,,Sterling und seine Verbündeten besiegen und die Brookstead-Prüfungen bestehen,,Supera las pruebas de Brookstead derrotando a Sterling y sus aliados.,,スターリングとその仲間を倒し、ブルックステッドの試験に合格しよう。,,스털링과 그의 동맹군을 물리치고 브룩스테드의 시험을 통과하십시오.,,击败斯特林和他的盟友，继续布鲁克斯特德大比考验。,
Survive for 7 turns,,Survivez pendant 7 tours,,Sopravvivi per 7 turni,,7 Runden überleben,,Sobrevive durante 7 turnos.,,7ターンの間生き残れ,,7턴 동안 생존,,生存 7 回合,
Defend the Duskwater inn for 7 turns until Lincoln and Bianca arrive with reinforcements.,,Défendez l’Auberge d’Aquanuit pendant 7 tours en attendant l’arrivée des renforts avec Lincoln et Bianca.,,"Difendi la locanda di Acquabruma per 7 turni, fino a quando Bianca e Lincoln arriveranno con i rinforzi.",,"Das Wirtshaus in Duskwater 7 Runden lang verteidigen, bis Lincoln und Bianca mit Verstärkung eintreffen",,Defiende la posada de Duskwater durante 7 turnos hasta que lleguen Lincoln y Bianca con refuerzos.,,リンカーンとビアンカが到着するまで、ダスクウォーターの宿屋を7ターン守ろう。,,링컨과 비앙카가 지원군을 이끌고 도착할 때까지 7턴 동안 더스크워터 여관을 방어하십시오.,,保卫暮水旅馆 7 回合，直到林肯和比安卡带着增援到达。,
Rout for 9 turns,,Mettez les ennemis en déroute pendant 9 tours.,,Resisti per 9 turni,,9 Runden vernichtend schlagen,,Domina durante 9 turnos.,,9ターンの間戦え,,9턴 동안 궤멸,,打败 9 个回合,
Defeat as many bandits as you can before they scatter and regroup.,,Battez autant de bandits que possible avant qu’ils ne se dispersent et ne se regroupent.,,Sconfiggi tutti i banditi che puoi prima che si ritirino e si riorganizzino.,,"So viele Banditen wie möglich besiegen, bevor sie sich zurückziehen und neu formieren",,Derrota a tantos bandidos como puedas antes de que se dispersen y se reagrupen.,,盗賊たちが逃走して再起することがないよう、できるだけ多くの盗賊を倒そう。,,산적들이 흩어졌다가 다시 모이기 전까지 가능한 한 많이 물리치십시오.,,在土匪分散并重新集结之前，尽可能多地击败它们。,
Defeat Boss,,Battez le boss,,Sconfiggi il boss,,Boss besiegen,,Derrota al jefe.,,ボスを倒せ,,보스 물리치기,,击败大佬,
Rescue the prisoners and defeat the leader of the bandits,,Libérez les prisonniers et battez le chef des bandits.,,Libera i prigionieri e sconfiggi il capo dei banditi.,,Die Gefangenen befreien und den Anführer der Banditen besiegen,,Rescata a los prisioneros y derrota al líder de los bandidos.,,人質を救出し、盗賊の親玉を倒そう。,,포로를 구출하고 산적들의 우두머리를 물리치십시오.,,营救俘虏并击败土匪首领,
Defeat Boss,,Battez le boss,,Sconfiggi il boss,,Boss besiegen,,Derrota al jefe.,,ボスを倒せ,,보스 물리치기,,击败大佬,
The recently defeated bandits have been resurrected - defeat their leader.,,Les bandits que vous avez éliminés ont été ressuscités. Battez leur chef.,,I banditi che avevi appena sconfitto sono stati rianimati: sconfiggi il loro capo.,,Die vor Kurzem besiegten Banditen wurden wiederbelebt - den Anführer besiegen,,Los bandidos que acabas de vencer han sido reanimados: derrota a su líder.,,倒した盗賊が蘇った。敵の親玉を倒そう。,,최근에 물리친 산적들이 부활했습니다. 우두머리를 물리치십시오.,,最近被击败的土匪已经复活——击败匪首。,
